condition,chain,generation,epoch,generation_in_epoch,type,informative,cost,error,success
con_com,5,3,1,3,E,1,0.0,0.1111111111111111,0.8888888888888888
con_com,5,4,2,1,E,1,0.0,0.0,0.9444444444444444
con_com,5,5,2,2,E,1,0.0,0.0,0.7222222222222222
con_com,5,6,2,3,E,1,0.0,0.0,0.9444444444444444
con_com,5,7,3,1,E,1,0.0,0.0,0.05555555555555555
con_com,5,8,3,2,E,1,0.4444444444444444,0.5555555555555556,0.8333333333333334
con_com,5,9,3,3,E,1,0.2222222222222222,0.3333333333333333,0.8888888888888888
con_com,6,0,0,0,E,1,0.0,,
con_com,6,1,1,1,E,1,0.0,0.0,0.9444444444444444
con_com,6,2,1,2,H,1,0.2222222222222222,0.7777777777777778,0.8333333333333334
con_com,6,3,1,3,E,1,0.4444444444444444,0.4444444444444444,0.6111111111111112
con_com,6,4,2,1,E,1,0.0,0.6666666666666666,0.8888888888888888
con_com,6,5,2,2,E,1,0.2222222222222222,0.3333333333333333,0.8333333333333334
con_com,6,6,2,3,E,1,0.4444444444444444,0.5555555555555556,0.7222222222222222
con_com,6,7,3,1,E,1,0.2222222222222222,1.0,0.8333333333333334
con_com,6,8,3,2,E,1,0.0,0.3333333333333333,0.8888888888888888
con_com,6,9,3,3,E,1,0.0,0.0,0.2222222222222222
con_com,7,0,0,0,E,1,0.0,,
con_com,7,1,1,1,E,1,0.0,0.6666666666666666,0.7777777777777778
con_com,7,2,1,2,E,1,0.0,0.0,1.0
con_com,7,3,1,3,E,1,0.0,0.0,0.7777777777777778
con_com,7,4,2,1,E,1,0.0,0.0,0.8888888888888888
con_com,7,5,2,2,E,1,0.2222222222222222,0.4444444444444444,0.7777777777777778
con_com,7,6,2,3,E,1,0.0,0.5555555555555556,0.4444444444444444
con_com,7,7,3,1,E,1,0.0,0.1111111111111111,0.9444444444444444
con_com,7,8,3,2,E,1,0.2222222222222222,0.2222222222222222,0.9444444444444444
con_com,7,9,3,3,E,1,0.0,0.2222222222222222,0.6666666666666666
con_com,8,0,0,0,E,1,0.0,,
con_com,8,1,1,1,E,1,0.0,0.0,0.9444444444444444
con_com,8,2,1,2,E,1,0.0,0.1111111111111111,0.6666666666666666
con_com,8,3,1,3,E,1,0.0,0.3333333333333333,0.7777777777777778
con_com,8,4,2,1,E,1,0.2222222222222222,0.2222222222222222,0.8888888888888888
con_com,8,5,2,2,E,1,0.4444444444444444,0.6666666666666666,0.6666666666666666
con_com,8,6,2,3,H,1,0.4444444444444444,1.1111111111111112,0.2777777777777778
con_com,8,7,3,1,H,1,0.7505430557959408,0.5555555555555556,0.3888888888888889
con_com,8,8,3,2,R,0,1.2788638893696598,0.4444444444444444,0.3888888888888889
con_com,8,9,3,3,R,0,1.0566416671474375,0.1111111111111111,0.6111111111111112
con_com,9,0,0,0,E,1,0.0,,
con_com,9,1,1,1,E,1,0.0,0.0,1.0
con_com,9,2,1,2,E,1,0.0,0.0,0.8888888888888888
con_com,9,3,1,3,E,1,0.0,0.0,0.3888888888888889
con_com,9,4,2,1,E,1,0.0,0.0,0.6111111111111112
con_com,9,5,2,2,E,1,0.2222222222222222,0.3333333333333333,0.7777777777777778
con_com,9,6,2,3,E,1,0.0,0.3333333333333333,0.8888888888888888
con_com,9,7,3,1,E,1,0.0,0.0,1.0
con_com,9,8,3,2,E,1,0.0,0.0,0.7777777777777778
con_com,9,9,3,3,R,0,1.2788638893696598,1.6666666666666667,0.5
sil_com,0,0,0,0,H,1,0.0,,
sil_com,0,1,0,0,H,1,0.2222222222222222,1.6666666666666667,0.5555555555555556
sil_com,0,2,0,0,H,1,0.6666666666666666,0.5555555555555556,0.4444444444444444
sil_com,0,3,0,0,R,0,1.2788638893696598,1.3333333333333333,0.3888888888888889
sil_com,0,4,0,0,R,0,1.584962500721156,0.2222222222222222,0.2222222222222222
sil_com,0,5,0,0,H,1,0.0,0.8888888888888888,0.8888888888888888
sil_com,0,6,0,0,H,1,0.2222222222222222,0.8888888888888888,0.7777777777777778
sil_com,0,7,0,0,H,1,0.0,0.5555555555555556,0.8888888888888888
sil_com,0,8,0,0,H,1,0.0,1.5555555555555556,0.8333333333333334
sil_com,0,9,0,0,H,1,0.4444444444444444,1.0,0.3888888888888889
sil_com,1,0,0,0,H,1,0.0,,
sil_com,1,1,0,0,H,1,0.4444444444444444,0.4444444444444444,0.2222222222222222
sil_com,1,2,0,0,H,1,0.4444444444444444,0.7777777777777778,0.6111111111111112
sil_com,1,3,0,0,E,1,0.2222222222222222,0.5555555555555556,0.5
sil_com,1,4,0,0,E,1,0.2222222222222222,0.5555555555555556,0.8888888888888888
sil_com,1,5,0,0,D,0,0.7505430557959409,0.8888888888888888,0.4444444444444444
sil_com,1,6,0,0,D,0,0.9727652780181633,0.5555555555555556,0.2222222222222222
sil_com,1,7,0,0,H,1,0.2222222222222222,0.4444444444444444,0.6666666666666666
sil_com,1,8,0,0,H,1,0.2222222222222222,2.111111111111111,0.3888888888888889
sil_com,1,9,0,0,E,1,0.6666666666666666,0.7777777777777778,0.4444444444444444
sil_com,2,0,0,0,H,1,0.0,,
sil_com,2,1,0,0,R,0,1.2788638893696598,1.8888888888888888,0.3888888888888889
sil_com,2,2,0,0,R,0,1.2788638893696598,1.0,0.5
sil_com,2,3,0,0,R,0,1.584962500721156,0.3333333333333333,0.2222222222222222
sil_com,2,4,0,0,R,0,1.584962500721156,0.0,0.2777777777777778
sil_com,2,5,0,0,H,1,0.0,0.6666666666666666,0.8888888888888888
sil_com,2,6,0,0,H,1,0.2222222222222222,0.4444444444444444,0.5
sil_com,2,7,0,0,H,1,0.5283208335737187,1.0,0.2777777777777778
sil_com,2,8,0,0,R,0,1.0566416671474375,0.5555555555555556,0.4444444444444444
sil_com,2,9,0,0,D,0,0.6666666666666666,1.2222222222222223,0.2777777777777778
sil_com,3,0,0,0,H,1,0.0,,
sil_com,3,1,0,0,H,1,0.6666666666666666,1.6666666666666667,0.3888888888888889
sil_com,3,2,0,0,R,0,1.0566416671474375,1.0,0.3333333333333333
sil_com,3,3,0,0,E,1,0.4444444444444444,0.6666666666666666,0.8333333333333334
sil_com,3,4,0,0,H,1,0.5283208335737187,0.7777777777777778,0.7222222222222222
sil_com,3,5,0,0,H,1,0.2222222222222222,1.2222222222222223,0.2777777777777778
sil_com,3,6,0,0,H,1,0.4444444444444444,0.6666666666666666,0.4444444444444444
sil_com,3,7,0,0,H,1,0.4444444444444444,0.7777777777777778,0.6666666666666666
sil_com,3,8,0,0,H,1,0.4444444444444444,0.5555555555555556,0.7222222222222222
sil_com,3,9,0,0,H,1,0.4444444444444444,0.5555555555555556,0.5
sil_com,4,0,0,0,H,1,0.0,,
sil_com,4,1,0,0,H,1,0.6666666666666666,2.111111111111111,0.3333333333333333
sil_com,4,2,0,0,H,1,0.4444444444444444,0.4444444444444444,0.3333333333333333
sil_com,4,3,0,0,R,0,0.972765278018163,0.8888888888888888,0.2777777777777778
sil_com,4,4,0,0,H,1,0.6666666666666666,0.8888888888888888,0.3333333333333333
sil_com,4,5,0,0,E,1,0.4444444444444444,2.3333333333333335,0.3333333333333333
sil_com,4,6,0,0,E,1,0.0,0.8888888888888888,0.9444444444444444
sil_com,4,7,0,0,E,1,0.0,0.1111111111111111,0.7777777777777778
sil_com,4,8,0,0,E,1,0.0,0.1111111111111111,1.0
sil_com,4,9,0,0,D,0,0.4444444444444444,0.7777777777777778,0.7222222222222222
sil_com,5,0,0,0,H,1,0.0,,
sil_com,5,1,0,0,H,1,0.4444444444444444,2.2222222222222223,0.16666666666666666
sil_com,5,2,0,0,D,0,0.972765278018163,0.5555555555555556,0.3333333333333333
sil_com,5,3,0,0,R,0,1.2788638893696598,0.1111111111111111,0.4444444444444444
sil_com,5,4,0,0,H,1,0.0,0.7777777777777778,0.7222222222222222
sil_com,5,5,0,0,H,1,0.0,0.0,1.0
sil_com,5,6,0,0,E,1,0.0,0.2222222222222222,0.9444444444444444
sil_com,5,7,0,0,E,1,0.0,0.1111111111111111,0.9444444444444444
sil_com,5,8,0,0,H,1,0.7505430557959408,0.6666666666666666,0.6111111111111112
sil_com,5,9,0,0,D,0,0.6666666666666666,0.8888888888888888,0.4444444444444444
sil_com,6,0,0,0,H,1,0.0,,
sil_com,6,1,0,0,H,1,0.0,1.0,0.5
sil_com,6,2,0,0,E,1,0.4444444444444444,0.8888888888888888,0.3888888888888889
sil_com,6,3,0,0,D,0,0.5283208335737187,0.8888888888888888,0.6666666666666666
sil_com,6,4,0,0,H,1,0.0,1.0,0.2222222222222222
sil_com,6,5,0,0,H,1,0.2222222222222222,0.4444444444444444,0.6666666666666666
sil_com,6,6,0,0,H,1,0.0,2.4444444444444446,0.3888888888888889
sil_com,6,7,0,0,H,1,0.0,0.8888888888888888,0.5555555555555556
sil_com,6,8,0,0,H,1,0.6666666666666666,1.4444444444444444,0.5
sil_com,6,9,0,0,H,1,0.6666666666666666,1.5555555555555556,0.5555555555555556
